"Samples ID" "F532 Median - B532" Name spotID
527 1162 S1_0.1_T #3-611
527 581 S1_0.1_S #3-621
527 589 S1_0.25_S #3-631
527 547 S1_0.5_S #3-641
527 663 S1_0.1_B #3-651
527 2619 S1_0.25_B #3-661
527 2813 S1_0.5_B #3-671
527 1294 S-RBD_0.5_Y #3-681
527 2 S-RBD_0.25_S #3-691
527 643 S-RBD_0.5_S #3-6101
527 435 S2-1_0.05_T #3-6111
527 526 S2-2_0.1_T #3-6121
527 3552 N-protein_0.1_T #3-6131
527 4556 N-protein_0.05_K #3-6141
527 5122 N-protein_0.1_K #3-6151
527 5384 N-protein_0.2_K #3-6161
527 533 buffer #3-6171
527 2652 N-protein_0.1_W #3-6181
527 4113 N-protein_0.25_W #3-6191
527 5326 N-protein_0.5_W #3-6201
527 617 N-protein_0.1_S #3-6211
527 7485 N-protein_0.25_S #3-6221
527 8798 N-protein_0.5_S #3-6231
527 6265 N-Cter_0.1_K #3-6241
527 6699 N-Cter_0.25_K #3-6251
527 6603 N-Cter_0.5_K #3-6261
527 1261 N-Nter_0.1_K #3-6271
527 1439 N-Nter_0.25_K #3-6281
527 1682 N-Nter_0.5_K #3-6291
527 55 NSP2_0.05_K #3-6301
527 79 NSP2_0.1_K #3-6311
527 131 NSP2_0.25_K #3-6321
527 1124 S1_0.1_T #3-612
527 587 S1_0.1_S #3-622
527 544 S1_0.25_S #3-632
527 512 S1_0.5_S #3-642
527 705 S1_0.1_B #3-652
527 2670 S1_0.25_B #3-662
527 2658 S1_0.5_B #3-672
527 1073 S-RBD_0.5_Y #3-682
527 2 S-RBD_0.25_S #3-692
527 654 S-RBD_0.5_S #3-6102
527 408 S2-1_0.05_T #3-6112
527 509 S2-2_0.1_T #3-6122
527 3408 N-protein_0.1_T #3-6132
527 4225 N-protein_0.05_K #3-6142
527 4837 N-protein_0.1_K #3-6152
527 4319 N-protein_0.2_K #3-6162
527 616 buffer #3-6172
527 3218 N-protein_0.1_W #3-6182
527 4677 N-protein_0.25_W #3-6192
527 6375 N-protein_0.5_W #3-6202
527 503 N-protein_0.1_S #3-6212
527 6783 N-protein_0.25_S #3-6222
527 6959 N-protein_0.5_S #3-6232
527 5847 N-Cter_0.1_K #3-6242
527 5584 N-Cter_0.25_K #3-6252
527 5870 N-Cter_0.5_K #3-6262
527 1212 N-Nter_0.1_K #3-6272
527 1463 N-Nter_0.25_K #3-6282
527 1501 N-Nter_0.5_K #3-6292
527 55 NSP2_0.05_K #3-6302
527 46 NSP2_0.1_K #3-6312
527 129 NSP2_0.25_K #3-6322
527 1003 S1_0.1_T #3-613
527 591 S1_0.1_S #3-623
527 584 S1_0.25_S #3-633
527 546 S1_0.5_S #3-643
527 698 S1_0.1_B #3-653
527 2583 S1_0.25_B #3-663
527 2624 S1_0.5_B #3-673
527 857 S-RBD_0.5_Y #3-683
527 1 S-RBD_0.25_S #3-693
527 584 S-RBD_0.5_S #3-6103
527 501 S2-1_0.05_T #3-6113
527 548 S2-2_0.1_T #3-6123
527 3426 N-protein_0.1_T #3-6133
527 4428 N-protein_0.05_K #3-6143
527 4750 N-protein_0.1_K #3-6153
527 4294 N-protein_0.2_K #3-6163
527 583 buffer #3-6173
527 2555 N-protein_0.1_W #3-6183
527 4225 N-protein_0.25_W #3-6193
527 6245 N-protein_0.5_W #3-6203
527 587 N-protein_0.1_S #3-6213
527 6691 N-protein_0.25_S #3-6223
527 7845 N-protein_0.5_S #3-6233
527 5615 N-Cter_0.1_K #3-6243
527 5818 N-Cter_0.25_K #3-6253
527 5564 N-Cter_0.5_K #3-6263
527 1174 N-Nter_0.1_K #3-6273
527 1442 N-Nter_0.25_K #3-6283
527 1554 N-Nter_0.5_K #3-6293
527 40 NSP2_0.05_K #3-6303
527 99 NSP2_0.1_K #3-6313
527 134 NSP2_0.25_K #3-6323
527 1020 S1_0.1_T #3-614
527 532 S1_0.1_S #3-624
527 543 S1_0.25_S #3-634
527 536 S1_0.5_S #3-644
527 714 S1_0.1_B #3-654
527 2603 S1_0.25_B #3-664
527 2526 S1_0.5_B #3-674
527 1005 S-RBD_0.5_Y #3-684
527 -1 S-RBD_0.25_S #3-694
527 633 S-RBD_0.5_S #3-6104
527 503 S2-1_0.05_T #3-6114
527 547 S2-2_0.1_T #3-6124
527 3383 N-protein_0.1_T #3-6134
527 4439 N-protein_0.05_K #3-6144
527 4414 N-protein_0.1_K #3-6154
527 3889 N-protein_0.2_K #3-6164
527 699 buffer #3-6174
527 2295 N-protein_0.1_W #3-6184
527 4250 N-protein_0.25_W #3-6194
527 5882 N-protein_0.5_W #3-6204
527 495 N-protein_0.1_S #3-6214
527 6355 N-protein_0.25_S #3-6224
527 7415 N-protein_0.5_S #3-6234
527 5040 N-Cter_0.1_K #3-6244
527 5230 N-Cter_0.25_K #3-6254
527 5433 N-Cter_0.5_K #3-6264
527 1034 N-Nter_0.1_K #3-6274
527 1376 N-Nter_0.25_K #3-6284
527 1535 N-Nter_0.5_K #3-6294
527 50 NSP2_0.05_K #3-6304
527 89 NSP2_0.1_K #3-6314
527 136 NSP2_0.25_K #3-6324
527 43 E-protein_0.25_T #3-615
527 20 E-protein_0.1_K #3-625
527 36 E-protein_0.25_K #3-635
527 86 E-protein_0.5_K #3-645
527 452 NSP1_0.1_T #3-655
527 374 NSP1_0.1_K #3-665
527 313 NSP1_0.25_K #3-675
527 321 NSP1_0.5_K #3-685
527 2 NSP4_0.1_T #3-695
527 176 NSP5_0.1_T #3-6105
527 329 NSP5_0.25_T #3-6115
527 495 NSP5_0.5_T #3-6125
527 103 NSP5_0.1_K #3-6135
527 363 NSP5_0.25_K #3-6145
527 535 NSP5_0.5_K #3-6155
527 793 NSP7_0.1_T #3-6165
527 8 buffer #3-6175
527 877 NSP8_0.25_T #3-6185
527 199 NSP8_0.1_K #3-6195
527 216 NSP8_0.25_K #3-6205
527 213 NSP8_0.5_K #3-6215
527 734 NSP9_0.25_T #3-6225
527 39 NSP9_0.1_K #3-6235
527 116 NSP9_0.25_K #3-6245
527 261 NSP9_0.5_K #3-6255
527 318 NSP10_0.1_T #3-6265
527 251 NSP10_0.2_T #3-6275
527 574 NSP10_0.3_T #3-6285
527 34 NSP10_0.1_K #3-6295
527 86 NSP10_0.25_K #3-6305
527 204 NSP10_0.5_K #3-6315
527 200 S1-4_0.2_K #3-6325
527 40 E-protein_0.25_T #3-616
527 27 E-protein_0.1_K #3-626
527 38 E-protein_0.25_K #3-636
527 89 E-protein_0.5_K #3-646
527 463 NSP1_0.1_T #3-656
527 323 NSP1_0.1_K #3-666
527 240 NSP1_0.25_K #3-676
527 249 NSP1_0.5_K #3-686
527 0 NSP4_0.1_T #3-696
527 161 NSP5_0.1_T #3-6106
527 294 NSP5_0.25_T #3-6116
527 447 NSP5_0.5_T #3-6126
527 98 NSP5_0.1_K #3-6136
527 387 NSP5_0.25_K #3-6146
527 560 NSP5_0.5_K #3-6156
527 978 NSP7_0.1_T #3-6166
527 24 buffer #3-6176
527 249 NSP8_0.25_T #3-6186
527 186 NSP8_0.1_K #3-6196
527 200 NSP8_0.25_K #3-6206
527 201 NSP8_0.5_K #3-6216
527 704 NSP9_0.25_T #3-6226
527 42 NSP9_0.1_K #3-6236
527 127 NSP9_0.25_K #3-6246
527 260 NSP9_0.5_K #3-6256
527 327 NSP10_0.1_T #3-6266
527 259 NSP10_0.2_T #3-6276
527 123 NSP10_0.3_T #3-6286
527 28 NSP10_0.1_K #3-6296
527 74 NSP10_0.25_K #3-6306
527 207 NSP10_0.5_K #3-6316
527 198 S1-4_0.2_K #3-6326
527 42 E-protein_0.25_T #3-617
527 21 E-protein_0.1_K #3-627
527 43 E-protein_0.25_K #3-637
527 85 E-protein_0.5_K #3-647
527 469 NSP1_0.1_T #3-657
527 310 NSP1_0.1_K #3-667
527 258 NSP1_0.25_K #3-677
527 207 NSP1_0.5_K #3-687
527 0 NSP4_0.1_T #3-697
527 167 NSP5_0.1_T #3-6107
527 325 NSP5_0.25_T #3-6117
527 403 NSP5_0.5_T #3-6127
527 110 NSP5_0.1_K #3-6137
527 343 NSP5_0.25_K #3-6147
527 611 NSP5_0.5_K #3-6157
527 1092 NSP7_0.1_T #3-6167
527 37 buffer #3-6177
527 360 NSP8_0.25_T #3-6187
527 163 NSP8_0.1_K #3-6197
527 164 NSP8_0.25_K #3-6207
527 182 NSP8_0.5_K #3-6217
527 262 NSP9_0.25_T #3-6227
527 24 NSP9_0.1_K #3-6237
527 119 NSP9_0.25_K #3-6247
527 236 NSP9_0.5_K #3-6257
527 344 NSP10_0.1_T #3-6267
527 155 NSP10_0.2_T #3-6277
527 217 NSP10_0.3_T #3-6287
527 24 NSP10_0.1_K #3-6297
527 76 NSP10_0.25_K #3-6307
527 189 NSP10_0.5_K #3-6317
527 182 S1-4_0.2_K #3-6327
527 38 E-protein_0.25_T #3-618
527 25 E-protein_0.1_K #3-628
527 45 E-protein_0.25_K #3-638
527 85 E-protein_0.5_K #3-648
527 460 NSP1_0.1_T #3-658
527 348 NSP1_0.1_K #3-668
527 311 NSP1_0.25_K #3-678
527 270 NSP1_0.5_K #3-688
527 0 NSP4_0.1_T #3-698
527 181 NSP5_0.1_T #3-6108
527 325 NSP5_0.25_T #3-6118
527 501 NSP5_0.5_T #3-6128
527 109 NSP5_0.1_K #3-6138
527 411 NSP5_0.25_K #3-6148
527 682 NSP5_0.5_K #3-6158
527 1170 NSP7_0.1_T #3-6168
527 21 buffer #3-6178
527 249 NSP8_0.25_T #3-6188
527 161 NSP8_0.1_K #3-6198
527 201 NSP8_0.25_K #3-6208
527 222 NSP8_0.5_K #3-6218
527 288 NSP9_0.25_T #3-6228
527 17 NSP9_0.1_K #3-6238
527 126 NSP9_0.25_K #3-6248
527 249 NSP9_0.5_K #3-6258
527 469 NSP10_0.1_T #3-6268
527 213 NSP10_0.2_T #3-6278
527 426 NSP10_0.3_T #3-6288
527 24 NSP10_0.1_K #3-6298
527 70 NSP10_0.25_K #3-6308
527 201 NSP10_0.5_K #3-6318
527 191 S1-4_0.2_K #3-6328
527 173 NSP14_0.05_K #3-619
527 219 NSP14_0.1_K #3-629
527 276 NSP14_0.25_K #3-639
527 89 NSP15_0.1_T #3-649
527 69 NSP15_0.1_K #3-659
527 221 NSP15_0.25_K #3-669
527 314 NSP15_0.5_K #3-679
527 315 NSP16_0.1_T #3-689
527 2 NSP16_0.1_K #3-699
527 71 NSP16_0.25_K #3-6109
527 172 NSP16_0.5_K #3-6119
527 78 ORF6_0.1_T #3-6129
527 31 ORF7b_0.1_T #3-6139
527 389 ORF9b_0.1_T #3-6149
527 25 GST_0.1_ #3-6159
527 76 AGR2-biotin #3-6169
527 4 buffer #3-6179
527 10 EGFP_0.1_K #3-6189
527 19 EGFP_0.25_K #3-6199
527 132 eGFP_0.5_K #3-6209
527 24789 ACE2-Fc_0.25_S #3-6219
527 37335 ACE2-Fc_0.5_S #3-6229
527 54 ACE2_0.5_S #3-6239
527 665 UBE2D3-His #3-6249
527 1106 H-IgG #3-6259
527 1130 H-IgM #3-6269
527 201 Anti-H-IgG_0.025 #3-6279
527 818 Anti-H-IgG_0.1 #3-6289
527 87 Anti-H-IgM_0.025 #3-6299
527 1384 Anti-H-IgM_0.1 #3-6309
527 7 Cy5 #3-6319
527 201 Cy3 #3-6329
527 175 NSP14_0.05_K #3-6110
527 212 NSP14_0.1_K #3-6210
527 276 NSP14_0.25_K #3-6310
527 81 NSP15_0.1_T #3-6410
527 56 NSP15_0.1_K #3-6510
527 198 NSP15_0.25_K #3-6610
527 339 NSP15_0.5_K #3-6710
527 306 NSP16_0.1_T #3-6810
527 -1 NSP16_0.1_K #3-6910
527 165 NSP16_0.25_K #3-61010
527 162 NSP16_0.5_K #3-61110
527 82 ORF6_0.1_T #3-61210
527 43 ORF7b_0.1_T #3-61310
527 461 ORF9b_0.1_T #3-61410
527 27 GST_0.1_ #3-61510
527 44 AGR2-biotin #3-61610
527 8 buffer #3-61710
527 8 EGFP_0.1_K #3-61810
527 16 EGFP_0.25_K #3-61910
527 127 eGFP_0.5_K #3-62010
527 24553 ACE2-Fc_0.25_S #3-62110
527 34711 ACE2-Fc_0.5_S #3-62210
527 64 ACE2_0.5_S #3-62310
527 666 UBE2D3-His #3-62410
527 1025 H-IgG #3-62510
527 905 H-IgM #3-62610
527 165 Anti-H-IgG_0.025 #3-62710
527 725 Anti-H-IgG_0.1 #3-62810
527 82 Anti-H-IgM_0.025 #3-62910
527 1232 Anti-H-IgM_0.1 #3-63010
527 8 Cy5 #3-63110
527 196 Cy3 #3-63210
527 172 NSP14_0.05_K #3-6111
527 227 NSP14_0.1_K #3-6211
527 267 NSP14_0.25_K #3-6311
527 79 NSP15_0.1_T #3-6411
527 79 NSP15_0.1_K #3-6511
527 207 NSP15_0.25_K #3-6611
527 336 NSP15_0.5_K #3-6711
527 353 NSP16_0.1_T #3-6811
527 1 NSP16_0.1_K #3-6911
527 165 NSP16_0.25_K #3-61011
527 172 NSP16_0.5_K #3-61111
527 82 ORF6_0.1_T #3-61211
527 33 ORF7b_0.1_T #3-61311
527 334 ORF9b_0.1_T #3-61411
527 26 GST_0.1_ #3-61511
527 40 AGR2-biotin #3-61611
527 2 buffer #3-61711
527 7 EGFP_0.1_K #3-61811
527 21 EGFP_0.25_K #3-61911
527 132 eGFP_0.5_K #3-62011
527 30000 ACE2-Fc_0.25_S #3-62111
527 36481 ACE2-Fc_0.5_S #3-62211
527 42 ACE2_0.5_S #3-62311
527 675 UBE2D3-His #3-62411
527 988 H-IgG #3-62511
527 1036 H-IgM #3-62611
527 153 Anti-H-IgG_0.025 #3-62711
527 669 Anti-H-IgG_0.1 #3-62811
527 74 Anti-H-IgM_0.025 #3-62911
527 1146 Anti-H-IgM_0.1 #3-63011
527 6 Cy5 #3-63111
527 164 Cy3 #3-63211
527 188 NSP14_0.05_K #3-6112
527 242 NSP14_0.1_K #3-6212
527 61 NSP14_0.25_K #3-6312
527 93 NSP15_0.1_T #3-6412
527 69 NSP15_0.1_K #3-6512
527 195 NSP15_0.25_K #3-6612
527 359 NSP15_0.5_K #3-6712
527 368 NSP16_0.1_T #3-6812
527 2 NSP16_0.1_K #3-6912
527 175 NSP16_0.25_K #3-61012
527 126 NSP16_0.5_K #3-61112
527 81 ORF6_0.1_T #3-61212
527 40 ORF7b_0.1_T #3-61312
527 319 ORF9b_0.1_T #3-61412
527 25 GST_0.1_ #3-61512
527 14 AGR2-biotin #3-61612
527 6 buffer #3-61712
527 8 EGFP_0.1_K #3-61812
527 22 EGFP_0.25_K #3-61912
527 120 eGFP_0.5_K #3-62012
527 24378 ACE2-Fc_0.25_S #3-62112
527 36209 ACE2-Fc_0.5_S #3-62212
527 64 ACE2_0.5_S #3-62312
527 712 UBE2D3-His #3-62412
527 971 H-IgG #3-62512
527 1417 H-IgM #3-62612
527 151 Anti-H-IgG_0.025 #3-62712
527 597 Anti-H-IgG_0.1 #3-62812
527 83 Anti-H-IgM_0.025 #3-62912
527 809 Anti-H-IgM_0.1 #3-63012
527 9 Cy5 #3-63112
527 182 Cy3 #3-63212
