"Samples ID" "F635 Median - B635" Name spotID
526 1972 S1_0.1_T #3-411
526 1705 S1_0.1_S #3-421
526 1445 S1_0.25_S #3-431
526 1530 S1_0.5_S #3-441
526 2194 S1_0.1_B #3-451
526 5535 S1_0.25_B #3-461
526 6486 S1_0.5_B #3-471
526 2082 S-RBD_0.5_Y #3-481
526 27 S-RBD_0.25_S #3-491
526 2402 S-RBD_0.5_S #3-4101
526 489 S2-1_0.05_T #3-4111
526 526 S2-2_0.1_T #3-4121
526 1944 N-protein_0.1_T #3-4131
526 2988 N-protein_0.05_K #3-4141
526 3371 N-protein_0.1_K #3-4151
526 3547 N-protein_0.2_K #3-4161
526 13 buffer #3-4171
526 1959 N-protein_0.1_W #3-4181
526 2703 N-protein_0.25_W #3-4191
526 4480 N-protein_0.5_W #3-4201
526 391 N-protein_0.1_S #3-4211
526 4483 N-protein_0.25_S #3-4221
526 4217 N-protein_0.5_S #3-4231
526 3823 N-Cter_0.1_K #3-4241
526 4304 N-Cter_0.25_K #3-4251
526 4876 N-Cter_0.5_K #3-4261
526 945 N-Nter_0.1_K #3-4271
526 1227 N-Nter_0.25_K #3-4281
526 1217 N-Nter_0.5_K #3-4291
526 60 NSP2_0.05_K #3-4301
526 105 NSP2_0.1_K #3-4311
526 240 NSP2_0.25_K #3-4321
526 1875 S1_0.1_T #3-412
526 1709 S1_0.1_S #3-422
526 1581 S1_0.25_S #3-432
526 1585 S1_0.5_S #3-442
526 2392 S1_0.1_B #3-452
526 5924 S1_0.25_B #3-462
526 6077 S1_0.5_B #3-472
526 1882 S-RBD_0.5_Y #3-482
526 11 S-RBD_0.25_S #3-492
526 2507 S-RBD_0.5_S #3-4102
526 490 S2-1_0.05_T #3-4112
526 504 S2-2_0.1_T #3-4122
526 2002 N-protein_0.1_T #3-4132
526 3429 N-protein_0.05_K #3-4142
526 3274 N-protein_0.1_K #3-4152
526 3432 N-protein_0.2_K #3-4162
526 -7 buffer #3-4172
526 1937 N-protein_0.1_W #3-4182
526 2768 N-protein_0.25_W #3-4192
526 4430 N-protein_0.5_W #3-4202
526 300 N-protein_0.1_S #3-4212
526 3487 N-protein_0.25_S #3-4222
526 4282 N-protein_0.5_S #3-4232
526 3701 N-Cter_0.1_K #3-4242
526 4025 N-Cter_0.25_K #3-4252
526 4477 N-Cter_0.5_K #3-4262
526 938 N-Nter_0.1_K #3-4272
526 1179 N-Nter_0.25_K #3-4282
526 1249 N-Nter_0.5_K #3-4292
526 50 NSP2_0.05_K #3-4302
526 117 NSP2_0.1_K #3-4312
526 227 NSP2_0.25_K #3-4322
526 1856 S1_0.1_T #3-413
526 1630 S1_0.1_S #3-423
526 1492 S1_0.25_S #3-433
526 1500 S1_0.5_S #3-443
526 2323 S1_0.1_B #3-453
526 5741 S1_0.25_B #3-463
526 6018 S1_0.5_B #3-473
526 1810 S-RBD_0.5_Y #3-483
526 20 S-RBD_0.25_S #3-493
526 2322 S-RBD_0.5_S #3-4103
526 453 S2-1_0.05_T #3-4113
526 518 S2-2_0.1_T #3-4123
526 2042 N-protein_0.1_T #3-4133
526 3381 N-protein_0.05_K #3-4143
526 3129 N-protein_0.1_K #3-4153
526 3311 N-protein_0.2_K #3-4163
526 132 buffer #3-4173
526 2189 N-protein_0.1_W #3-4183
526 2592 N-protein_0.25_W #3-4193
526 4308 N-protein_0.5_W #3-4203
526 379 N-protein_0.1_S #3-4213
526 4123 N-protein_0.25_S #3-4223
526 3808 N-protein_0.5_S #3-4233
526 3763 N-Cter_0.1_K #3-4243
526 3813 N-Cter_0.25_K #3-4253
526 4037 N-Cter_0.5_K #3-4263
526 917 N-Nter_0.1_K #3-4273
526 1176 N-Nter_0.25_K #3-4283
526 1205 N-Nter_0.5_K #3-4293
526 77 NSP2_0.05_K #3-4303
526 122 NSP2_0.1_K #3-4313
526 163 NSP2_0.25_K #3-4323
526 1686 S1_0.1_T #3-414
526 1673 S1_0.1_S #3-424
526 1373 S1_0.25_S #3-434
526 1601 S1_0.5_S #3-444
526 2250 S1_0.1_B #3-454
526 5456 S1_0.25_B #3-464
526 6048 S1_0.5_B #3-474
526 2110 S-RBD_0.5_Y #3-484
526 22 S-RBD_0.25_S #3-494
526 2439 S-RBD_0.5_S #3-4104
526 484 S2-1_0.05_T #3-4114
526 549 S2-2_0.1_T #3-4124
526 1963 N-protein_0.1_T #3-4134
526 3066 N-protein_0.05_K #3-4144
526 2992 N-protein_0.1_K #3-4154
526 3300 N-protein_0.2_K #3-4164
526 51 buffer #3-4174
526 1973 N-protein_0.1_W #3-4184
526 2729 N-protein_0.25_W #3-4194
526 4593 N-protein_0.5_W #3-4204
526 411 N-protein_0.1_S #3-4214
526 4501 N-protein_0.25_S #3-4224
526 5209 N-protein_0.5_S #3-4234
526 3541 N-Cter_0.1_K #3-4244
526 3707 N-Cter_0.25_K #3-4254
526 4031 N-Cter_0.5_K #3-4264
526 903 N-Nter_0.1_K #3-4274
526 1098 N-Nter_0.25_K #3-4284
526 1246 N-Nter_0.5_K #3-4294
526 54 NSP2_0.05_K #3-4304
526 142 NSP2_0.1_K #3-4314
526 229 NSP2_0.25_K #3-4324
526 120 E-protein_0.25_T #3-415
526 27 E-protein_0.1_K #3-425
526 87 E-protein_0.25_K #3-435
526 330 E-protein_0.5_K #3-445
526 575 NSP1_0.1_T #3-455
526 256 NSP1_0.1_K #3-465
526 226 NSP1_0.25_K #3-475
526 247 NSP1_0.5_K #3-485
526 12 NSP4_0.1_T #3-495
526 750 NSP5_0.1_T #3-4105
526 1393 NSP5_0.25_T #3-4115
526 2009 NSP5_0.5_T #3-4125
526 229 NSP5_0.1_K #3-4135
526 535 NSP5_0.25_K #3-4145
526 772 NSP5_0.5_K #3-4155
526 1202 NSP7_0.1_T #3-4165
526 18 buffer #3-4175
526 1661 NSP8_0.25_T #3-4185
526 358 NSP8_0.1_K #3-4195
526 486 NSP8_0.25_K #3-4205
526 524 NSP8_0.5_K #3-4215
526 1179 NSP9_0.25_T #3-4225
526 46 NSP9_0.1_K #3-4235
526 176 NSP9_0.25_K #3-4245
