"Samples ID" "F635 Median - B635" Name spotID
533 256 S1_0.1_T #4-611
533 406 S1_0.1_S #4-621
533 588 S1_0.25_S #4-631
533 1001 S1_0.5_S #4-641
533 388 S1_0.1_B #4-651
533 2148 S1_0.25_B #4-661
533 2341 S1_0.5_B #4-671
533 606 S-RBD_0.5_Y #4-681
533 10 S-RBD_0.25_S #4-691
533 610 S-RBD_0.5_S #4-6101
533 160 S2-1_0.05_T #4-6111
533 162 S2-2_0.1_T #4-6121
533 1189 N-protein_0.1_T #4-6131
533 1270 N-protein_0.05_K #4-6141
533 1660 N-protein_0.1_K #4-6151
533 1641 N-protein_0.2_K #4-6161
533 121 buffer #4-6171
533 1207 N-protein_0.1_W #4-6181
533 1499 N-protein_0.25_W #4-6191
533 1694 N-protein_0.5_W #4-6201
533 301 N-protein_0.1_S #4-6211
533 1500 N-protein_0.25_S #4-6221
533 1829 N-protein_0.5_S #4-6231
533 1585 N-Cter_0.1_K #4-6241
533 1672 N-Cter_0.25_K #4-6251
533 1665 N-Cter_0.5_K #4-6261
533 219 N-Nter_0.1_K #4-6271
533 311 N-Nter_0.25_K #4-6281
533 340 N-Nter_0.5_K #4-6291
533 49 NSP2_0.05_K #4-6301
533 98 NSP2_0.1_K #4-6311
533 180 NSP2_0.25_K #4-6321
533 239 S1_0.1_T #4-612
533 382 S1_0.1_S #4-622
533 615 S1_0.25_S #4-632
533 1043 S1_0.5_S #4-642
533 380 S1_0.1_B #4-652
533 1987 S1_0.25_B #4-662
533 2309 S1_0.5_B #4-672
533 617 S-RBD_0.5_Y #4-682
533 7 S-RBD_0.25_S #4-692
533 571 S-RBD_0.5_S #4-6102
533 165 S2-1_0.05_T #4-6112
533 174 S2-2_0.1_T #4-6122
533 1099 N-protein_0.1_T #4-6132
533 1386 N-protein_0.05_K #4-6142
533 1536 N-protein_0.1_K #4-6152
533 1382 N-protein_0.2_K #4-6162
533 81 buffer #4-6172
533 1211 N-protein_0.1_W #4-6182
533 1382 N-protein_0.25_W #4-6192
533 1571 N-protein_0.5_W #4-6202
533 338 N-protein_0.1_S #4-6212
533 1474 N-protein_0.25_S #4-6222
533 1751 N-protein_0.5_S #4-6232
533 1530 N-Cter_0.1_K #4-6242
533 1506 N-Cter_0.25_K #4-6252
533 1474 N-Cter_0.5_K #4-6262
533 192 N-Nter_0.1_K #4-6272
533 278 N-Nter_0.25_K #4-6282
533 328 N-Nter_0.5_K #4-6292
533 42 NSP2_0.05_K #4-6302
533 102 NSP2_0.1_K #4-6312
533 209 NSP2_0.25_K #4-6322
533 245 S1_0.1_T #4-613
533 394 S1_0.1_S #4-623
533 557 S1_0.25_S #4-633
533 972 S1_0.5_S #4-643
533 366 S1_0.1_B #4-653
533 1894 S1_0.25_B #4-663
533 2112 S1_0.5_B #4-673
533 480 S-RBD_0.5_Y #4-683
533 12 S-RBD_0.25_S #4-693
533 570 S-RBD_0.5_S #4-6103
533 159 S2-1_0.05_T #4-6113
533 194 S2-2_0.1_T #4-6123
533 1109 N-protein_0.1_T #4-6133
533 1301 N-protein_0.05_K #4-6143
533 1397 N-protein_0.1_K #4-6153
533 1282 N-protein_0.2_K #4-6163
533 90 buffer #4-6173
533 1078 N-protein_0.1_W #4-6183
533 1331 N-protein_0.25_W #4-6193
533 1510 N-protein_0.5_W #4-6203
533 285 N-protein_0.1_S #4-6213
533 1349 N-protein_0.25_S #4-6223
533 1590 N-protein_0.5_S #4-6233
533 1451 N-Cter_0.1_K #4-6243
533 1451 N-Cter_0.25_K #4-6253
533 1416 N-Cter_0.5_K #4-6263
533 188 N-Nter_0.1_K #4-6273
533 274 N-Nter_0.25_K #4-6283
533 326 N-Nter_0.5_K #4-6293
533 63 NSP2_0.05_K #4-6303
533 95 NSP2_0.1_K #4-6313
533 192 NSP2_0.25_K #4-6323
533 214 S1_0.1_T #4-614
533 375 S1_0.1_S #4-624
533 515 S1_0.25_S #4-634
533 929 S1_0.5_S #4-644
533 349 S1_0.1_B #4-654
533 1856 S1_0.25_B #4-664
533 1983 S1_0.5_B #4-674
533 472 S-RBD_0.5_Y #4-684
533 11 S-RBD_0.25_S #4-694
533 493 S-RBD_0.5_S #4-6104
533 146 S2-1_0.05_T #4-6114
533 175 S2-2_0.1_T #4-6124
533 1019 N-protein_0.1_T #4-6134
533 1275 N-protein_0.05_K #4-6144
533 1319 N-protein_0.1_K #4-6154
533 1178 N-protein_0.2_K #4-6164
533 119 buffer #4-6174
533 1024 N-protein_0.1_W #4-6184
533 1118 N-protein_0.25_W #4-6194
533 1396 N-protein_0.5_W #4-6204
533 276 N-protein_0.1_S #4-6214
533 1345 N-protein_0.25_S #4-6224
533 1461 N-protein_0.5_S #4-6234
533 1337 N-Cter_0.1_K #4-6244
533 1341 N-Cter_0.25_K #4-6254
533 1392 N-Cter_0.5_K #4-6264
533 166 N-Nter_0.1_K #4-6274
533 267 N-Nter_0.25_K #4-6284
533 332 N-Nter_0.5_K #4-6294
533 49 NSP2_0.05_K #4-6304
533 106 NSP2_0.1_K #4-6314
533 188 NSP2_0.25_K #4-6324
533 42 E-protein_0.25_T #4-615
533 5 E-protein_0.1_K #4-625
533 17 E-protein_0.25_K #4-635
533 35 E-protein_0.5_K #4-645
533 259 NSP1_0.1_T #4-655
533 188 NSP1_0.1_K #4-665
533 163 NSP1_0.25_K #4-675
533 114 NSP1_0.5_K #4-685
533 19 NSP4_0.1_T #4-695
533 492 NSP5_0.1_T #4-6105
533 788 NSP5_0.25_T #4-6115
533 1350 NSP5_0.5_T #4-6125
533 299 NSP5_0.1_K #4-6135
533 427 NSP5_0.25_K #4-6145
533 623 NSP5_0.5_K #4-6155
