"Samples ID" "F532 Median - B532" Name spotID
520 5723 S1_0.1_T #3-911
520 15623 S1_0.1_S #3-921
520 15322 S1_0.25_S #3-931
520 17007 S1_0.5_S #3-941
520 8894 S1_0.1_B #3-951
520 34147 S1_0.25_B #3-961
520 36693 S1_0.5_B #3-971
520 5841 S-RBD_0.5_Y #3-981
520 71 S-RBD_0.25_S #3-991
520 5515 S-RBD_0.5_S #3-9101
520 662 S2-1_0.05_T #3-9111
520 717 S2-2_0.1_T #3-9121
520 45440 N-protein_0.1_T #3-9131
520 65150 N-protein_0.05_K #3-9141
520 64486 N-protein_0.1_K #3-9151
520 62670 N-protein_0.2_K #3-9161
520 8668 buffer #3-9171
520 30312 N-protein_0.1_W #3-9181
520 33929 N-protein_0.25_W #3-9191
520 65349 N-protein_0.5_W #3-9201
520 4963 N-protein_0.1_S #3-9211
520 65296 N-protein_0.25_S #3-9221
520 53639 N-protein_0.5_S #3-9231
520 64682 N-Cter_0.1_K #3-9241
520 65146 N-Cter_0.25_K #3-9251
520 65166 N-Cter_0.5_K #3-9261
520 30043 N-Nter_0.1_K #3-9271
520 37292 N-Nter_0.25_K #3-9281
520 41138 N-Nter_0.5_K #3-9291
520 85 NSP2_0.05_K #3-9301
520 98 NSP2_0.1_K #3-9311
520 110 NSP2_0.25_K #3-9321
520 5467 S1_0.1_T #3-912
520 16422 S1_0.1_S #3-922
520 15676 S1_0.25_S #3-932
520 16025 S1_0.5_S #3-942
520 9310 S1_0.1_B #3-952
520 31451 S1_0.25_B #3-962
520 36651 S1_0.5_B #3-972
520 5434 S-RBD_0.5_Y #3-982
520 84 S-RBD_0.25_S #3-992
520 5508 S-RBD_0.5_S #3-9102
520 644 S2-1_0.05_T #3-9112
520 831 S2-2_0.1_T #3-9122
520 44309 N-protein_0.1_T #3-9132
520 64991 N-protein_0.05_K #3-9142
520 61848 N-protein_0.1_K #3-9152
520 56989 N-protein_0.2_K #3-9162
520 11385 buffer #3-9172
520 38468 N-protein_0.1_W #3-9182
520 53254 N-protein_0.25_W #3-9192
520 65329 N-protein_0.5_W #3-9202
520 5618 N-protein_0.1_S #3-9212
520 57238 N-protein_0.25_S #3-9222
520 65286 N-protein_0.5_S #3-9232
520 62294 N-Cter_0.1_K #3-9242
520 62812 N-Cter_0.25_K #3-9252
520 64862 N-Cter_0.5_K #3-9262
520 29244 N-Nter_0.1_K #3-9272
520 39692 N-Nter_0.25_K #3-9282
520 43485 N-Nter_0.5_K #3-9292
520 96 NSP2_0.05_K #3-9302
520 62 NSP2_0.1_K #3-9312
520 140 NSP2_0.25_K #3-9322
520 5483 S1_0.1_T #3-913
520 15290 S1_0.1_S #3-923
520 15691 S1_0.25_S #3-933
520 16373 S1_0.5_S #3-943
520 8812 S1_0.1_B #3-953
520 34726 S1_0.25_B #3-963
520 37349 S1_0.5_B #3-973
520 5124 S-RBD_0.5_Y #3-983
520 96 S-RBD_0.25_S #3-993
520 5371 S-RBD_0.5_S #3-9103
520 713 S2-1_0.05_T #3-9113
520 740 S2-2_0.1_T #3-9123
520 45333 N-protein_0.1_T #3-9133
520 64771 N-protein_0.05_K #3-9143
520 59512 N-protein_0.1_K #3-9153
520 55811 N-protein_0.2_K #3-9163
520 7505 buffer #3-9173
520 38897 N-protein_0.1_W #3-9183
520 43314 N-protein_0.25_W #3-9193
520 65321 N-protein_0.5_W #3-9203
520 4710 N-protein_0.1_S #3-9213
520 58881 N-protein_0.25_S #3-9223
520 65286 N-protein_0.5_S #3-9233
520 65263 N-Cter_0.1_K #3-9243
520 65106 N-Cter_0.25_K #3-9253
520 64688 N-Cter_0.5_K #3-9263
520 29178 N-Nter_0.1_K #3-9273
520 33979 N-Nter_0.25_K #3-9283
520 43850 N-Nter_0.5_K #3-9293
520 92 NSP2_0.05_K #3-9303
520 117 NSP2_0.1_K #3-9313
520 147 NSP2_0.25_K #3-9323
520 5177 S1_0.1_T #3-914
520 14959 S1_0.1_S #3-924
520 15893 S1_0.25_S #3-934
520 15381 S1_0.5_S #3-944
520 9321 S1_0.1_B #3-954
520 34261 S1_0.25_B #3-964
520 37255 S1_0.5_B #3-974
520 7575 S-RBD_0.5_Y #3-984
520 81 S-RBD_0.25_S #3-994
520 5103 S-RBD_0.5_S #3-9104
520 797 S2-1_0.05_T #3-9114
520 782 S2-2_0.1_T #3-9124
520 46726 N-protein_0.1_T #3-9134
520 64634 N-protein_0.05_K #3-9144
520 59424 N-protein_0.1_K #3-9154
520 57842 N-protein_0.2_K #3-9164
520 11190 buffer #3-9174
520 27481 N-protein_0.1_W #3-9184
520 52322 N-protein_0.25_W #3-9194
520 65321 N-protein_0.5_W #3-9204
520 5473 N-protein_0.1_S #3-9214
520 55591 N-protein_0.25_S #3-9224
520 65293 N-protein_0.5_S #3-9234
520 64528 N-Cter_0.1_K #3-9244
520 65127 N-Cter_0.25_K #3-9254
520 64895 N-Cter_0.5_K #3-9264
520 19766 N-Nter_0.1_K #3-9274
520 39630 N-Nter_0.25_K #3-9284
520 42871 N-Nter_0.5_K #3-9294
520 84 NSP2_0.05_K #3-9304
