"Samples ID" "F635 Median - B635" Name spotID
610 1734 S1_0.1_T #4-311
610 4329 S1_0.1_S #4-321
610 3600 S1_0.25_S #4-331
610 3458 S1_0.5_S #4-341
610 4900 S1_0.1_B #4-351
610 8250 S1_0.25_B #4-361
610 15531 S1_0.5_B #4-371
610 4990 S-RBD_0.5_Y #4-381
610 13 S-RBD_0.25_S #4-391
610 4898 S-RBD_0.5_S #4-3101
610 456 S2-1_0.05_T #4-3111
610 453 S2-2_0.1_T #4-3121
610 2613 N-protein_0.1_T #4-3131
610 3068 N-protein_0.05_K #4-3141
610 3415 N-protein_0.1_K #4-3151
610 3508 N-protein_0.2_K #4-3161
610 48 buffer #4-3171
610 2571 N-protein_0.1_W #4-3181
610 3145 N-protein_0.25_W #4-3191
610 4609 N-protein_0.5_W #4-3201
610 372 N-protein_0.1_S #4-3211
610 4203 N-protein_0.25_S #4-3221
610 4129 N-protein_0.5_S #4-3231
610 3450 N-Cter_0.1_K #4-3241
610 3591 N-Cter_0.25_K #4-3251
610 3973 N-Cter_0.5_K #4-3261
610 1609 N-Nter_0.1_K #4-3271
610 1806 N-Nter_0.25_K #4-3281
610 2154 N-Nter_0.5_K #4-3291
610 39 NSP2_0.05_K #4-3301
610 87 NSP2_0.1_K #4-3311
610 222 NSP2_0.25_K #4-3321
610 2031 S1_0.1_T #4-312
610 4378 S1_0.1_S #4-322
610 3553 S1_0.25_S #4-332
610 3480 S1_0.5_S #4-342
610 4717 S1_0.1_B #4-352
610 13117 S1_0.25_B #4-362
610 14409 S1_0.5_B #4-372
610 3378 S-RBD_0.5_Y #4-382
610 14 S-RBD_0.25_S #4-392
610 4995 S-RBD_0.5_S #4-3102
610 401 S2-1_0.05_T #4-3112
610 496 S2-2_0.1_T #4-3122
610 2561 N-protein_0.1_T #4-3132
610 3108 N-protein_0.05_K #4-3142
610 3277 N-protein_0.1_K #4-3152
610 3122 N-protein_0.2_K #4-3162
610 58 buffer #4-3172
610 2515 N-protein_0.1_W #4-3182
610 3454 N-protein_0.25_W #4-3192
610 4203 N-protein_0.5_W #4-3202
610 420 N-protein_0.1_S #4-3212
610 3407 N-protein_0.25_S #4-3222
610 4632 N-protein_0.5_S #4-3232
610 3521 N-Cter_0.1_K #4-3242
610 3747 N-Cter_0.25_K #4-3252
610 4086 N-Cter_0.5_K #4-3262
610 1634 N-Nter_0.1_K #4-3272
610 1993 N-Nter_0.25_K #4-3282
610 2198 N-Nter_0.5_K #4-3292
610 19 NSP2_0.05_K #4-3302
610 101 NSP2_0.1_K #4-3312
610 240 NSP2_0.25_K #4-3322
610 1912 S1_0.1_T #4-313
610 4188 S1_0.1_S #4-323
610 3229 S1_0.25_S #4-333
610 3356 S1_0.5_S #4-343
