"Samples ID" "F532 Median - B532" Name spotID
535 2549 S1_0.1_T #1-211
535 11972 S1_0.1_S #1-221
535 12410 S1_0.25_S #1-231
535 11206 S1_0.5_S #1-241
535 7845 S1_0.1_B #1-251
535 20090 S1_0.25_B #1-261
535 23896 S1_0.5_B #1-271
535 4716 S-RBD_0.5_Y #1-281
535 173 S-RBD_0.25_S #1-291
535 3591 S-RBD_0.5_S #1-2101
535 1726 S2-1_0.05_T #1-2111
535 3067 S2-2_0.1_T #1-2121
535 26143 N-protein_0.1_T #1-2131
535 58286 N-protein_0.05_K #1-2141
535 54112 N-protein_0.1_K #1-2151
535 59742 N-protein_0.2_K #1-2161
535 27 buffer #1-2171
535 28774 N-protein_0.1_W #1-2181
535 37697 N-protein_0.25_W #1-2191
535 57401 N-protein_0.5_W #1-2201
535 4727 N-protein_0.1_S #1-2211
535 44469 N-protein_0.25_S #1-2221
535 58426 N-protein_0.5_S #1-2231
535 40018 N-Cter_0.1_K #1-2241
535 43019 N-Cter_0.25_K #1-2251
535 54879 N-Cter_0.5_K #1-2261
535 28485 N-Nter_0.1_K #1-2271
535 35271 N-Nter_0.25_K #1-2281
535 38097 N-Nter_0.5_K #1-2291
535 113 NSP2_0.05_K #1-2301
535 201 NSP2_0.1_K #1-2311
535 371 NSP2_0.25_K #1-2321
535 2535 S1_0.1_T #1-212
535 12730 S1_0.1_S #1-222
535 13765 S1_0.25_S #1-232
535 12557 S1_0.5_S #1-242
535 7807 S1_0.1_B #1-252
535 19069 S1_0.25_B #1-262
535 22100 S1_0.5_B #1-272
535 4537 S-RBD_0.5_Y #1-282
535 128 S-RBD_0.25_S #1-292
535 3040 S-RBD_0.5_S #1-2102
535 1969 S2-1_0.05_T #1-2112
535 2365 S2-2_0.1_T #1-2122
535 25099 N-protein_0.1_T #1-2132
535 56103 N-protein_0.05_K #1-2142
535 47739 N-protein_0.1_K #1-2152
535 50389 N-protein_0.2_K #1-2162
535 1 buffer #1-2172
535 27606 N-protein_0.1_W #1-2182
535 35784 N-protein_0.25_W #1-2192
535 57916 N-protein_0.5_W #1-2202
535 3375 N-protein_0.1_S #1-2212
535 45962 N-protein_0.25_S #1-2222
535 48368 N-protein_0.5_S #1-2232
535 39578 N-Cter_0.1_K #1-2242
535 43015 N-Cter_0.25_K #1-2252
535 52695 N-Cter_0.5_K #1-2262
535 27884 N-Nter_0.1_K #1-2272
535 35727 N-Nter_0.25_K #1-2282
535 39351 N-Nter_0.5_K #1-2292
535 123 NSP2_0.05_K #1-2302
535 240 NSP2_0.1_K #1-2312
535 364 NSP2_0.25_K #1-2322
535 2372 S1_0.1_T #1-213
