"Samples ID" "F635 Median - B635" Name spotID
527 1561 S1_0.1_T #3-611
527 765 S1_0.1_S #3-621
527 670 S1_0.25_S #3-631
527 871 S1_0.5_S #3-641
527 1166 S1_0.1_B #3-651
527 6245 S1_0.25_B #3-661
527 6779 S1_0.5_B #3-671
527 1895 S-RBD_0.5_Y #3-681
527 13 S-RBD_0.25_S #3-691
527 2305 S-RBD_0.5_S #3-6101
527 521 S2-1_0.05_T #3-6111
527 593 S2-2_0.1_T #3-6121
527 1575 N-protein_0.1_T #3-6131
527 1458 N-protein_0.05_K #3-6141
527 1866 N-protein_0.1_K #3-6151
527 1879 N-protein_0.2_K #3-6161
527 128 buffer #3-6171
527 1320 N-protein_0.1_W #3-6181
527 1714 N-protein_0.25_W #3-6191
527 2153 N-protein_0.5_W #3-6201
527 392 N-protein_0.1_S #3-6211
527 2501 N-protein_0.25_S #3-6221
527 2645 N-protein_0.5_S #3-6231
527 2005 N-Cter_0.1_K #3-6241
527 2154 N-Cter_0.25_K #3-6251
527 2043 N-Cter_0.5_K #3-6261
527 130 N-Nter_0.1_K #3-6271
527 218 N-Nter_0.25_K #3-6281
527 282 N-Nter_0.5_K #3-6291
527 89 NSP2_0.05_K #3-6301
527 150 NSP2_0.1_K #3-6311
527 349 NSP2_0.25_K #3-6321
527 1606 S1_0.1_T #3-612
527 812 S1_0.1_S #3-622
527 629 S1_0.25_S #3-632
527 816 S1_0.5_S #3-642
527 1192 S1_0.1_B #3-652
527 6396 S1_0.25_B #3-662
527 6275 S1_0.5_B #3-672
527 1503 S-RBD_0.5_Y #3-682
527 20 S-RBD_0.25_S #3-692
527 2345 S-RBD_0.5_S #3-6102
527 526 S2-1_0.05_T #3-6112
527 625 S2-2_0.1_T #3-6122
527 1520 N-protein_0.1_T #3-6132
527 1298 N-protein_0.05_K #3-6142
527 1768 N-protein_0.1_K #3-6152
527 1582 N-protein_0.2_K #3-6162
527 113 buffer #3-6172
527 1461 N-protein_0.1_W #3-6182
527 1828 N-protein_0.25_W #3-6192
527 2084 N-protein_0.5_W #3-6202
527 272 N-protein_0.1_S #3-6212
527 2306 N-protein_0.25_S #3-6222
527 2318 N-protein_0.5_S #3-6232
527 1910 N-Cter_0.1_K #3-6242
527 1866 N-Cter_0.25_K #3-6252
527 1801 N-Cter_0.5_K #3-6262
527 124 N-Nter_0.1_K #3-6272
527 214 N-Nter_0.25_K #3-6282
527 247 N-Nter_0.5_K #3-6292
527 97 NSP2_0.05_K #3-6302
527 94 NSP2_0.1_K #3-6312
527 333 NSP2_0.25_K #3-6322
527 1328 S1_0.1_T #3-613
527 799 S1_0.1_S #3-623
527 662 S1_0.25_S #3-633
527 842 S1_0.5_S #3-643
527 1218 S1_0.1_B #3-653
527 6054 S1_0.25_B #3-663
527 6269 S1_0.5_B #3-673
527 1159 S-RBD_0.5_Y #3-683
527 9 S-RBD_0.25_S #3-693
527 2031 S-RBD_0.5_S #3-6103
527 618 S2-1_0.05_T #3-6113
527 621 S2-2_0.1_T #3-6123
527 1336 N-protein_0.1_T #3-6133
527 1441 N-protein_0.05_K #3-6143
527 1683 N-protein_0.1_K #3-6153
527 1539 N-protein_0.2_K #3-6163
527 115 buffer #3-6173
527 1278 N-protein_0.1_W #3-6183
527 1693 N-protein_0.25_W #3-6193
527 2121 N-protein_0.5_W #3-6203
527 342 N-protein_0.1_S #3-6213
527 2192 N-protein_0.25_S #3-6223
527 2326 N-protein_0.5_S #3-6233
527 1748 N-Cter_0.1_K #3-6243
527 1774 N-Cter_0.25_K #3-6253
527 1686 N-Cter_0.5_K #3-6263
527 119 N-Nter_0.1_K #3-6273
527 228 N-Nter_0.25_K #3-6283
527 264 N-Nter_0.5_K #3-6293
527 61 NSP2_0.05_K #3-6303
527 175 NSP2_0.1_K #3-6313
527 318 NSP2_0.25_K #3-6323
527 1381 S1_0.1_T #3-614
527 724 S1_0.1_S #3-624
527 611 S1_0.25_S #3-634
527 768 S1_0.5_S #3-644
527 1314 S1_0.1_B #3-654
527 6176 S1_0.25_B #3-664
527 5891 S1_0.5_B #3-674
527 1344 S-RBD_0.5_Y #3-684
527 9 S-RBD_0.25_S #3-694
527 2200 S-RBD_0.5_S #3-6104
527 581 S2-1_0.05_T #3-6114
527 641 S2-2_0.1_T #3-6124
