"Samples ID" "F532 Median - B532" Name spotID
522 5921 S1_0.1_T #3-1111
522 24637 S1_0.1_S #3-1121
522 26071 S1_0.25_S #3-1131
522 24383 S1_0.5_S #3-1141
522 14562 S1_0.1_B #3-1151
522 42399 S1_0.25_B #3-1161
522 43727 S1_0.5_B #3-1171
522 8425 S-RBD_0.5_Y #3-1181
522 335 S-RBD_0.25_S #3-1191
522 7118 S-RBD_0.5_S #3-11101
522 1032 S2-1_0.05_T #3-11111
522 1400 S2-2_0.1_T #3-11121
522 53068 N-protein_0.1_T #3-11131
522 63746 N-protein_0.05_K #3-11141
522 63886 N-protein_0.1_K #3-11151
522 64288 N-protein_0.2_K #3-11161
522 888 buffer #3-11171
522 44278 N-protein_0.1_W #3-11181
522 51056 N-protein_0.25_W #3-11191
522 65316 N-protein_0.5_W #3-11201
522 9145 N-protein_0.1_S #3-11211
522 65308 N-protein_0.25_S #3-11221
522 65289 N-protein_0.5_S #3-11231
522 65244 N-Cter_0.1_K #3-11241
522 65084 N-Cter_0.25_K #3-11251
522 64966 N-Cter_0.5_K #3-11261
522 26475 N-Nter_0.1_K #3-11271
522 32633 N-Nter_0.25_K #3-11281
522 33411 N-Nter_0.5_K #3-11291
522 106 NSP2_0.05_K #3-11301
522 217 NSP2_0.1_K #3-11311
522 269 NSP2_0.25_K #3-11321
522 6004 S1_0.1_T #3-1112
522 27005 S1_0.1_S #3-1122
522 26708 S1_0.25_S #3-1132
522 25411 S1_0.5_S #3-1142
522 14793 S1_0.1_B #3-1152
522 38253 S1_0.25_B #3-1162
522 45169 S1_0.5_B #3-1172
522 8317 S-RBD_0.5_Y #3-1182
522 293 S-RBD_0.25_S #3-1192
522 7505 S-RBD_0.5_S #3-11102
522 1164 S2-1_0.05_T #3-11112
522 1438 S2-2_0.1_T #3-11122
522 52149 N-protein_0.1_T #3-11132
522 64987 N-protein_0.05_K #3-11142
522 62241 N-protein_0.1_K #3-11152
522 56528 N-protein_0.2_K #3-11162
522 -863 buffer #3-11172
522 44124 N-protein_0.1_W #3-11182
522 51790 N-protein_0.25_W #3-11192
522 65282 N-protein_0.5_W #3-11202
522 9589 N-protein_0.1_S #3-11212
522 65291 N-protein_0.25_S #3-11222
522 65287 N-protein_0.5_S #3-11232
522 65251 N-Cter_0.1_K #3-11242
522 65189 N-Cter_0.25_K #3-11252
522 64704 N-Cter_0.5_K #3-11262
522 24509 N-Nter_0.1_K #3-11272
522 32827 N-Nter_0.25_K #3-11282
522 36043 N-Nter_0.5_K #3-11292
522 147 NSP2_0.05_K #3-11302
522 265 NSP2_0.1_K #3-11312
522 323 NSP2_0.25_K #3-11322
522 5387 S1_0.1_T #3-1113
522 26028 S1_0.1_S #3-1123
522 25493 S1_0.25_S #3-1133
522 24671 S1_0.5_S #3-1143
522 14294 S1_0.1_B #3-1153
522 39651 S1_0.25_B #3-1163
522 28028 S1_0.5_B #3-1173
522 6412 S-RBD_0.5_Y #3-1183
522 213 S-RBD_0.25_S #3-1193
522 7609 S-RBD_0.5_S #3-11103
522 1214 S2-1_0.05_T #3-11113
522 1275 S2-2_0.1_T #3-11123
522 55781 N-protein_0.1_T #3-11133
522 64900 N-protein_0.05_K #3-11143
522 62997 N-protein_0.1_K #3-11153
522 57756 N-protein_0.2_K #3-11163
522 2482 buffer #3-11173
522 41585 N-protein_0.1_W #3-11183
522 57442 N-protein_0.25_W #3-11193
522 65263 N-protein_0.5_W #3-11203
522 7492 N-protein_0.1_S #3-11213
522 65284 N-protein_0.25_S #3-11223
522 65271 N-protein_0.5_S #3-11233
522 65204 N-Cter_0.1_K #3-11243
522 65152 N-Cter_0.25_K #3-11253
522 64878 N-Cter_0.5_K #3-11263
522 26336 N-Nter_0.1_K #3-11273
522 34692 N-Nter_0.25_K #3-11283
522 34958 N-Nter_0.5_K #3-11293
522 151 NSP2_0.05_K #3-11303
522 248 NSP2_0.1_K #3-11313
522 291 NSP2_0.25_K #3-11323
522 5521 S1_0.1_T #3-1114
522 25436 S1_0.1_S #3-1124
522 25026 S1_0.25_S #3-1134
522 23610 S1_0.5_S #3-1144
522 14187 S1_0.1_B #3-1154
522 36167 S1_0.25_B #3-1164
522 45821 S1_0.5_B #3-1174
522 5310 S-RBD_0.5_Y #3-1184
522 118 S-RBD_0.25_S #3-1194
522 7286 S-RBD_0.5_S #3-11104
522 1081 S2-1_0.05_T #3-11114
522 1464 S2-2_0.1_T #3-11124
522 53354 N-protein_0.1_T #3-11134
522 64984 N-protein_0.05_K #3-11144
522 63126 N-protein_0.1_K #3-11154
522 57716 N-protein_0.2_K #3-11164
522 5435 buffer #3-11174
522 43103 N-protein_0.1_W #3-11184
522 59410 N-protein_0.25_W #3-11194
522 65222 N-protein_0.5_W #3-11204
522 6732 N-protein_0.1_S #3-11214
522 65286 N-protein_0.25_S #3-11224
522 65268 N-protein_0.5_S #3-11234
522 65224 N-Cter_0.1_K #3-11244
522 65126 N-Cter_0.25_K #3-11254
522 64782 N-Cter_0.5_K #3-11264
