"Samples ID" "F635 Median - B635" Name spotID
405 3041 S1_0.1_T #4-711
405 4899 S1_0.1_S #4-721
405 4151 S1_0.25_S #4-731
405 3874 S1_0.5_S #4-741
405 5243 S1_0.1_B #4-751
405 16537 S1_0.25_B #4-761
405 18255 S1_0.5_B #4-771
405 4417 S-RBD_0.5_Y #4-781
405 -49 S-RBD_0.25_S #4-791
405 4500 S-RBD_0.5_S #4-7101
405 474 S2-1_0.05_T #4-7111
405 552 S2-2_0.1_T #4-7121
405 2761 N-protein_0.1_T #4-7131
405 1361 N-protein_0.05_K #4-7141
405 2592 N-protein_0.1_K #4-7151
405 2896 N-protein_0.2_K #4-7161
405 -35 buffer #4-7171
405 2412 N-protein_0.1_W #4-7181
405 2971 N-protein_0.25_W #4-7191
405 4030 N-protein_0.5_W #4-7201
405 497 N-protein_0.1_S #4-7211
405 3594 N-protein_0.25_S #4-7221
405 3945 N-protein_0.5_S #4-7231
405 3667 N-Cter_0.1_K #4-7241
405 3557 N-Cter_0.25_K #4-7251
405 3859 N-Cter_0.5_K #4-7261
405 339 N-Nter_0.1_K #4-7271
405 385 N-Nter_0.25_K #4-7281
405 399 N-Nter_0.5_K #4-7291
405 5 NSP2_0.05_K #4-7301
405 73 NSP2_0.1_K #4-7311
405 124 NSP2_0.25_K #4-7321
405 2849 S1_0.1_T #4-712
405 4832 S1_0.1_S #4-722
405 3782 S1_0.25_S #4-732
405 3498 S1_0.5_S #4-742
405 5302 S1_0.1_B #4-752
405 15697 S1_0.25_B #4-762
405 17819 S1_0.5_B #4-772
405 3660 S-RBD_0.5_Y #4-782
405 -59 S-RBD_0.25_S #4-792
405 4620 S-RBD_0.5_S #4-7102
405 421 S2-1_0.05_T #4-7112
405 581 S2-2_0.1_T #4-7122
405 2676 N-protein_0.1_T #4-7132
405 1616 N-protein_0.05_K #4-7142
405 2456 N-protein_0.1_K #4-7152
405 2632 N-protein_0.2_K #4-7162
405 -34 buffer #4-7172
405 2464 N-protein_0.1_W #4-7182
405 2854 N-protein_0.25_W #4-7192
405 4025 N-protein_0.5_W #4-7202
405 459 N-protein_0.1_S #4-7212
405 3443 N-protein_0.25_S #4-7222
405 3864 N-protein_0.5_S #4-7232
405 3362 N-Cter_0.1_K #4-7242
405 3598 N-Cter_0.25_K #4-7252
405 3668 N-Cter_0.5_K #4-7262
405 364 N-Nter_0.1_K #4-7272
405 400 N-Nter_0.25_K #4-7282
405 422 N-Nter_0.5_K #4-7292
405 10 NSP2_0.05_K #4-7302
405 75 NSP2_0.1_K #4-7312
405 104 NSP2_0.25_K #4-7322
405 2738 S1_0.1_T #4-713
405 4936 S1_0.1_S #4-723
405 3715 S1_0.25_S #4-733
405 3346 S1_0.5_S #4-743
405 5471 S1_0.1_B #4-753
405 15961 S1_0.25_B #4-763
405 17295 S1_0.5_B #4-773
405 5249 S-RBD_0.5_Y #4-783
405 -39 S-RBD_0.25_S #4-793
405 4348 S-RBD_0.5_S #4-7103
405 454 S2-1_0.05_T #4-7113
405 555 S2-2_0.1_T #4-7123
405 2680 N-protein_0.1_T #4-7133
405 1494 N-protein_0.05_K #4-7143
405 2553 N-protein_0.1_K #4-7153
405 2460 N-protein_0.2_K #4-7163
405 105 buffer #4-7173
405 2498 N-protein_0.1_W #4-7183
405 2906 N-protein_0.25_W #4-7193
405 3977 N-protein_0.5_W #4-7203
405 356 N-protein_0.1_S #4-7213
405 3515 N-protein_0.25_S #4-7223
405 3892 N-protein_0.5_S #4-7233
405 3272 N-Cter_0.1_K #4-7243
405 3338 N-Cter_0.25_K #4-7253
405 3507 N-Cter_0.5_K #4-7263
405 307 N-Nter_0.1_K #4-7273
405 379 N-Nter_0.25_K #4-7283
405 412 N-Nter_0.5_K #4-7293
405 6 NSP2_0.05_K #4-7303
405 86 NSP2_0.1_K #4-7313
405 64 NSP2_0.25_K #4-7323
405 2719 S1_0.1_T #4-714
405 4619 S1_0.1_S #4-724
405 3438 S1_0.25_S #4-734
405 3445 S1_0.5_S #4-744
405 5022 S1_0.1_B #4-754
405 15631 S1_0.25_B #4-764
405 17997 S1_0.5_B #4-774
405 2889 S-RBD_0.5_Y #4-784
405 -12 S-RBD_0.25_S #4-794
405 4061 S-RBD_0.5_S #4-7104
405 408 S2-1_0.05_T #4-7114
405 1007 S2-2_0.1_T #4-7124
405 2461 N-protein_0.1_T #4-7134
405 1298 N-protein_0.05_K #4-7144
405 2563 N-protein_0.1_K #4-7154
405 2397 N-protein_0.2_K #4-7164
405 163 buffer #4-7174
405 2255 N-protein_0.1_W #4-7184
405 3024 N-protein_0.25_W #4-7194
405 3657 N-protein_0.5_W #4-7204
405 451 N-protein_0.1_S #4-7214
405 3166 N-protein_0.25_S #4-7224
405 3872 N-protein_0.5_S #4-7234
405 3055 N-Cter_0.1_K #4-7244
405 3043 N-Cter_0.25_K #4-7254
405 3456 N-Cter_0.5_K #4-7264
405 299 N-Nter_0.1_K #4-7274
405 325 N-Nter_0.25_K #4-7284
405 401 N-Nter_0.5_K #4-7294
405 2 NSP2_0.05_K #4-7304
