"Samples ID" "F532 Median - B532" Name spotID
409 1427 S1_0.1_T #3-311
409 3161 S1_0.1_S #3-321
409 3644 S1_0.25_S #3-331
409 3432 S1_0.5_S #3-341
409 2904 S1_0.1_B #3-351
409 9893 S1_0.25_B #3-361
409 10547 S1_0.5_B #3-371
409 1040 S-RBD_0.5_Y #3-381
409 3 S-RBD_0.25_S #3-391
409 1139 S-RBD_0.5_S #3-3101
409 530 S2-1_0.05_T #3-3111
409 529 S2-2_0.1_T #3-3121
409 36723 N-protein_0.1_T #3-3131
409 65209 N-protein_0.05_K #3-3141
409 64750 N-protein_0.1_K #3-3151
409 64071 N-protein_0.2_K #3-3161
409 206 buffer #3-3171
409 30789 N-protein_0.1_W #3-3181
409 41797 N-protein_0.25_W #3-3191
409 64761 N-protein_0.5_W #3-3201
409 2823 N-protein_0.1_S #3-3211
409 64683 N-protein_0.25_S #3-3221
409 65337 N-protein_0.5_S #3-3231
409 65301 N-Cter_0.1_K #3-3241
409 65226 N-Cter_0.25_K #3-3251
409 65247 N-Cter_0.5_K #3-3261
409 26258 N-Nter_0.1_K #3-3271
409 34927 N-Nter_0.25_K #3-3281
409 35855 N-Nter_0.5_K #3-3291
409 40 NSP2_0.05_K #3-3301
409 53 NSP2_0.1_K #3-3311
409 85 NSP2_0.25_K #3-3321
409 1464 S1_0.1_T #3-312
409 3327 S1_0.1_S #3-322
409 3441 S1_0.25_S #3-332
409 3473 S1_0.5_S #3-342
409 2969 S1_0.1_B #3-352
409 9957 S1_0.25_B #3-362
409 10256 S1_0.5_B #3-372
409 1171 S-RBD_0.5_Y #3-382
409 3 S-RBD_0.25_S #3-392
409 1050 S-RBD_0.5_S #3-3102
409 640 S2-1_0.05_T #3-3112
409 1155 S2-2_0.1_T #3-3122
409 35779 N-protein_0.1_T #3-3132
409 65186 N-protein_0.05_K #3-3142
409 64704 N-protein_0.1_K #3-3152
409 62160 N-protein_0.2_K #3-3162
409 -860 buffer #3-3172
409 24617 N-protein_0.1_W #3-3182
409 38175 N-protein_0.25_W #3-3192
409 64312 N-protein_0.5_W #3-3202
409 3951 N-protein_0.1_S #3-3212
409 54585 N-protein_0.25_S #3-3222
409 65318 N-protein_0.5_S #3-3232
409 65289 N-Cter_0.1_K #3-3242
409 65255 N-Cter_0.25_K #3-3252
409 65198 N-Cter_0.5_K #3-3262
409 27121 N-Nter_0.1_K #3-3272
409 34841 N-Nter_0.25_K #3-3282
409 33263 N-Nter_0.5_K #3-3292
409 47 NSP2_0.05_K #3-3302
409 60 NSP2_0.1_K #3-3312
409 82 NSP2_0.25_K #3-3322
409 1413 S1_0.1_T #3-313
409 3300 S1_0.1_S #3-323
409 3551 S1_0.25_S #3-333
409 3192 S1_0.5_S #3-343
409 2904 S1_0.1_B #3-353
409 9600 S1_0.25_B #3-363
409 10760 S1_0.5_B #3-373
409 1390 S-RBD_0.5_Y #3-383
409 3 S-RBD_0.25_S #3-393
409 1103 S-RBD_0.5_S #3-3103
409 686 S2-1_0.05_T #3-3113
409 658 S2-2_0.1_T #3-3123
409 34385 N-protein_0.1_T #3-3133
409 65234 N-protein_0.05_K #3-3143
409 64818 N-protein_0.1_K #3-3153
409 62912 N-protein_0.2_K #3-3163
409 2066 buffer #3-3173
409 25140 N-protein_0.1_W #3-3183
409 45891 N-protein_0.25_W #3-3193
409 65289 N-protein_0.5_W #3-3203
409 4175 N-protein_0.1_S #3-3213
409 65329 N-protein_0.25_S #3-3223
409 65315 N-protein_0.5_S #3-3233
409 65292 N-Cter_0.1_K #3-3243
409 65258 N-Cter_0.25_K #3-3253
409 65186 N-Cter_0.5_K #3-3263
409 25734 N-Nter_0.1_K #3-3273
409 34028 N-Nter_0.25_K #3-3283
409 36050 N-Nter_0.5_K #3-3293
409 74 NSP2_0.05_K #3-3303
409 80 NSP2_0.1_K #3-3313
409 80 NSP2_0.25_K #3-3323
409 1402 S1_0.1_T #3-314
409 3015 S1_0.1_S #3-324
409 3315 S1_0.25_S #3-334
409 3187 S1_0.5_S #3-344
409 2699 S1_0.1_B #3-354
409 9789 S1_0.25_B #3-364
409 10011 S1_0.5_B #3-374
409 2052 S-RBD_0.5_Y #3-384
409 0 S-RBD_0.25_S #3-394
409 1173 S-RBD_0.5_S #3-3104
409 675 S2-1_0.05_T #3-3114
409 807 S2-2_0.1_T #3-3124
409 37703 N-protein_0.1_T #3-3134
409 65275 N-protein_0.05_K #3-3144
409 64826 N-protein_0.1_K #3-3154
409 62615 N-protein_0.2_K #3-3164
409 3665 buffer #3-3174
409 26103 N-protein_0.1_W #3-3184
409 46814 N-protein_0.25_W #3-3194
409 65275 N-protein_0.5_W #3-3204
409 5502 N-protein_0.1_S #3-3214
409 44378 N-protein_0.25_S #3-3224
409 54839 N-protein_0.5_S #3-3234
409 65295 N-Cter_0.1_K #3-3244
409 65251 N-Cter_0.25_K #3-3254
409 65224 N-Cter_0.5_K #3-3264
409 26330 N-Nter_0.1_K #3-3274
409 34638 N-Nter_0.25_K #3-3284
409 36062 N-Nter_0.5_K #3-3294
409 66 NSP2_0.05_K #3-3304
409 72 NSP2_0.1_K #3-3314
409 101 NSP2_0.25_K #3-3324
409 86 E-protein_0.25_T #3-315
409 40 E-protein_0.1_K #3-325
409 55 E-protein_0.25_K #3-335
409 87 E-protein_0.5_K #3-345
409 226 NSP1_0.1_T #3-355
409 267 NSP1_0.1_K #3-365
409 259 NSP1_0.25_K #3-375
409 250 NSP1_0.5_K #3-385
409 4 NSP4_0.1_T #3-395
409 2603 NSP5_0.1_T #3-3105
409 3303 NSP5_0.25_T #3-3115
409 3809 NSP5_0.5_T #3-3125
409 404 NSP5_0.1_K #3-3135
409 4600 NSP5_0.25_K #3-3145
409 4413 NSP5_0.5_K #3-3155
409 8732 NSP7_0.1_T #3-3165
409 132 buffer #3-3175
409 6299 NSP8_0.25_T #3-3185
409 224 NSP8_0.1_K #3-3195
409 98 NSP8_0.25_K #3-3205
409 64 NSP8_0.5_K #3-3215
409 9672 NSP9_0.25_T #3-3225
409 153 NSP9_0.1_K #3-3235
409 316 NSP9_0.25_K #3-3245
409 416 NSP9_0.5_K #3-3255
409 2800 NSP10_0.1_T #3-3265
409 2084 NSP10_0.2_T #3-3275
409 2927 NSP10_0.3_T #3-3285
409 404 NSP10_0.1_K #3-3295
409 55 NSP10_0.25_K #3-3305
409 107 NSP10_0.5_K #3-3315
409 231 S1-4_0.2_K #3-3325
409 67 E-protein_0.25_T #3-316
409 38 E-protein_0.1_K #3-326
409 54 E-protein_0.25_K #3-336
409 83 E-protein_0.5_K #3-346
409 213 NSP1_0.1_T #3-356
409 249 NSP1_0.1_K #3-366
409 243 NSP1_0.25_K #3-376
409 226 NSP1_0.5_K #3-386
409 4 NSP4_0.1_T #3-396
409 2461 NSP5_0.1_T #3-3106
409 2888 NSP5_0.25_T #3-3116
409 3132 NSP5_0.5_T #3-3126
409 396 NSP5_0.1_K #3-3136
409 3857 NSP5_0.25_K #3-3146
409 4552 NSP5_0.5_K #3-3156
409 8356 NSP7_0.1_T #3-3166
409 135 buffer #3-3176
409 5954 NSP8_0.25_T #3-3186
409 221 NSP8_0.1_K #3-3196
409 101 NSP8_0.25_K #3-3206
409 52 NSP8_0.5_K #3-3216
409 8951 NSP9_0.25_T #3-3226
409 145 NSP9_0.1_K #3-3236
409 293 NSP9_0.25_K #3-3246
409 354 NSP9_0.5_K #3-3256
409 2995 NSP10_0.1_T #3-3266
409 1964 NSP10_0.2_T #3-3276
409 2860 NSP10_0.3_T #3-3286
409 413 NSP10_0.1_K #3-3296
409 47 NSP10_0.25_K #3-3306
409 110 NSP10_0.5_K #3-3316
409 219 S1-4_0.2_K #3-3326
409 57 E-protein_0.25_T #3-317
409 36 E-protein_0.1_K #3-327
409 46 E-protein_0.25_K #3-337
409 89 E-protein_0.5_K #3-347
409 194 NSP1_0.1_T #3-357
409 250 NSP1_0.1_K #3-367
409 239 NSP1_0.25_K #3-377
409 212 NSP1_0.5_K #3-387
409 6 NSP4_0.1_T #3-397
409 2408 NSP5_0.1_T #3-3107
409 2599 NSP5_0.25_T #3-3117
409 3111 NSP5_0.5_T #3-3127
409 295 NSP5_0.1_K #3-3137
409 3714 NSP5_0.25_K #3-3147
409 4680 NSP5_0.5_K #3-3157
409 8657 NSP7_0.1_T #3-3167
409 170 buffer #3-3177
409 5533 NSP8_0.25_T #3-3187
409 220 NSP8_0.1_K #3-3197
409 94 NSP8_0.25_K #3-3207
409 71 NSP8_0.5_K #3-3217
409 9100 NSP9_0.25_T #3-3227
409 147 NSP9_0.1_K #3-3237
409 272 NSP9_0.25_K #3-3247
409 339 NSP9_0.5_K #3-3257
409 3010 NSP10_0.1_T #3-3267
409 1935 NSP10_0.2_T #3-3277
409 2711 NSP10_0.3_T #3-3287
409 411 NSP10_0.1_K #3-3297
409 39 NSP10_0.25_K #3-3307
409 108 NSP10_0.5_K #3-3317
409 136 S1-4_0.2_K #3-3327
409 73 E-protein_0.25_T #3-318
409 38 E-protein_0.1_K #3-328
409 54 E-protein_0.25_K #3-338
409 81 E-protein_0.5_K #3-348
409 200 NSP1_0.1_T #3-358
409 255 NSP1_0.1_K #3-368
409 235 NSP1_0.25_K #3-378
409 229 NSP1_0.5_K #3-388
409 5 NSP4_0.1_T #3-398
409 2273 NSP5_0.1_T #3-3108
409 2760 NSP5_0.25_T #3-3118
409 3294 NSP5_0.5_T #3-3128
409 304 NSP5_0.1_K #3-3138
409 3549 NSP5_0.25_K #3-3148
409 4588 NSP5_0.5_K #3-3158
409 8295 NSP7_0.1_T #3-3168
409 108 buffer #3-3178
409 5830 NSP8_0.25_T #3-3188
409 224 NSP8_0.1_K #3-3198
409 108 NSP8_0.25_K #3-3208
409 78 NSP8_0.5_K #3-3218
409 9456 NSP9_0.25_T #3-3228
409 117 NSP9_0.1_K #3-3238
409 290 NSP9_0.25_K #3-3248
409 361 NSP9_0.5_K #3-3258
409 2975 NSP10_0.1_T #3-3268
409 1886 NSP10_0.2_T #3-3278
409 2805 NSP10_0.3_T #3-3288
409 307 NSP10_0.1_K #3-3298
409 40 NSP10_0.25_K #3-3308
409 105 NSP10_0.5_K #3-3318
409 204 S1-4_0.2_K #3-3328
409 92 NSP14_0.05_K #3-319
409 137 NSP14_0.1_K #3-329
409 239 NSP14_0.25_K #3-339
409 42 NSP15_0.1_T #3-349
409 19 NSP15_0.1_K #3-359
409 69 NSP15_0.25_K #3-369
409 126 NSP15_0.5_K #3-379
409 150 NSP16_0.1_T #3-389
409 0 NSP16_0.1_K #3-399
409 294 NSP16_0.25_K #3-3109
409 302 NSP16_0.5_K #3-3119
409 19 ORF6_0.1_T #3-3129
409 110 ORF7b_0.1_T #3-3139
409 684 ORF9b_0.1_T #3-3149
409 13 GST_0.1_ #3-3159
409 205 AGR2-biotin #3-3169
409 -1 buffer #3-3179
409 22 EGFP_0.1_K #3-3189
409 51 EGFP_0.25_K #3-3199
409 694 eGFP_0.5_K #3-3209
409 20097 ACE2-Fc_0.25_S #3-3219
409 29329 ACE2-Fc_0.5_S #3-3229
409 100 ACE2_0.5_S #3-3239
409 7906 UBE2D3-His #3-3249
409 1255 H-IgG #3-3259
409 1079 H-IgM #3-3269
409 259 Anti-H-IgG_0.025 #3-3279
409 1093 Anti-H-IgG_0.1 #3-3289
409 111 Anti-H-IgM_0.025 #3-3299
409 1311 Anti-H-IgM_0.1 #3-3309
409 5 Cy5 #3-3319
409 248 Cy3 #3-3329
409 85 NSP14_0.05_K #3-3110
409 149 NSP14_0.1_K #3-3210
409 239 NSP14_0.25_K #3-3310
409 40 NSP15_0.1_T #3-3410
409 19 NSP15_0.1_K #3-3510
409 72 NSP15_0.25_K #3-3610
409 122 NSP15_0.5_K #3-3710
409 147 NSP16_0.1_T #3-3810
409 -3 NSP16_0.1_K #3-3910
409 285 NSP16_0.25_K #3-31010
409 268 NSP16_0.5_K #3-31110
409 80 ORF6_0.1_T #3-31210
409 112 ORF7b_0.1_T #3-31310
409 751 ORF9b_0.1_T #3-31410
409 14 GST_0.1_ #3-31510
409 159 AGR2-biotin #3-31610
409 0 buffer #3-31710
409 24 EGFP_0.1_K #3-31810
409 48 EGFP_0.25_K #3-31910
409 690 eGFP_0.5_K #3-32010
409 18210 ACE2-Fc_0.25_S #3-32110
409 26341 ACE2-Fc_0.5_S #3-32210
409 98 ACE2_0.5_S #3-32310
409 8096 UBE2D3-His #3-32410
409 1114 H-IgG #3-32510
409 1046 H-IgM #3-32610
409 236 Anti-H-IgG_0.025 #3-32710
