"Samples ID" "F635 Median - B635" Name spotID
522 3819 S1_0.1_T #3-1111
522 7620 S1_0.1_S #3-1121
522 7606 S1_0.25_S #3-1131
522 6496 S1_0.5_S #3-1141
522 5894 S1_0.1_B #3-1151
522 14064 S1_0.25_B #3-1161
522 14136 S1_0.5_B #3-1171
522 5087 S-RBD_0.5_Y #3-1181
522 280 S-RBD_0.25_S #3-1191
522 5821 S-RBD_0.5_S #3-11101
522 206 S2-1_0.05_T #3-11111
522 277 S2-2_0.1_T #3-11121
522 3908 N-protein_0.1_T #3-11131
522 7632 N-protein_0.05_K #3-11141
522 8372 N-protein_0.1_K #3-11151
522 8905 N-protein_0.2_K #3-11161
522 60 buffer #3-11171
522 3296 N-protein_0.1_W #3-11181
522 3912 N-protein_0.25_W #3-11191
522 10655 N-protein_0.5_W #3-11201
522 582 N-protein_0.1_S #3-11211
522 7638 N-protein_0.25_S #3-11221
522 9302 N-protein_0.5_S #3-11231
522 7319 N-Cter_0.1_K #3-11241
522 8610 N-Cter_0.25_K #3-11251
522 9797 N-Cter_0.5_K #3-11261
522 1196 N-Nter_0.1_K #3-11271
522 1673 N-Nter_0.25_K #3-11281
522 1757 N-Nter_0.5_K #3-11291
522 62 NSP2_0.05_K #3-11301
522 238 NSP2_0.1_K #3-11311
522 304 NSP2_0.25_K #3-11321
522 3712 S1_0.1_T #3-1112
522 7942 S1_0.1_S #3-1122
522 7308 S1_0.25_S #3-1132
522 6450 S1_0.5_S #3-1142
522 5713 S1_0.1_B #3-1152
522 11671 S1_0.25_B #3-1162
522 14861 S1_0.5_B #3-1172
522 4957 S-RBD_0.5_Y #3-1182
522 252 S-RBD_0.25_S #3-1192
522 5946 S-RBD_0.5_S #3-11102
522 224 S2-1_0.05_T #3-11112
522 270 S2-2_0.1_T #3-11122
522 3742 N-protein_0.1_T #3-11132
522 7607 N-protein_0.05_K #3-11142
522 7703 N-protein_0.1_K #3-11152
522 7636 N-protein_0.2_K #3-11162
522 -53 buffer #3-11172
522 3062 N-protein_0.1_W #3-11182
522 3848 N-protein_0.25_W #3-11192
522 10022 N-protein_0.5_W #3-11202
522 586 N-protein_0.1_S #3-11212
522 6844 N-protein_0.25_S #3-11222
522 6911 N-protein_0.5_S #3-11232
522 7165 N-Cter_0.1_K #3-11242
522 7744 N-Cter_0.25_K #3-11252
522 8691 N-Cter_0.5_K #3-11262
522 1067 N-Nter_0.1_K #3-11272
522 1689 N-Nter_0.25_K #3-11282
522 1898 N-Nter_0.5_K #3-11292
522 86 NSP2_0.05_K #3-11302
522 259 NSP2_0.1_K #3-11312
522 372 NSP2_0.25_K #3-11322
522 3345 S1_0.1_T #3-1113
522 7498 S1_0.1_S #3-1123
522 6923 S1_0.25_S #3-1133
522 6186 S1_0.5_S #3-1143
522 5508 S1_0.1_B #3-1153
522 11835 S1_0.25_B #3-1163
522 9160 S1_0.5_B #3-1173
522 4009 S-RBD_0.5_Y #3-1183
522 173 S-RBD_0.25_S #3-1193
522 5946 S-RBD_0.5_S #3-11103
522 265 S2-1_0.05_T #3-11113
522 258 S2-2_0.1_T #3-11123
522 3702 N-protein_0.1_T #3-11133
522 7143 N-protein_0.05_K #3-11143
522 7371 N-protein_0.1_K #3-11153
522 7343 N-protein_0.2_K #3-11163
522 160 buffer #3-11173
522 2773 N-protein_0.1_W #3-11183
522 4461 N-protein_0.25_W #3-11193
522 9199 N-protein_0.5_W #3-11203
522 478 N-protein_0.1_S #3-11213
522 8114 N-protein_0.25_S #3-11223
522 7300 N-protein_0.5_S #3-11233
522 6989 N-Cter_0.1_K #3-11243
522 6612 N-Cter_0.25_K #3-11253
522 8108 N-Cter_0.5_K #3-11263
522 1232 N-Nter_0.1_K #3-11273
522 1807 N-Nter_0.25_K #3-11283
522 1875 N-Nter_0.5_K #3-11293
522 95 NSP2_0.05_K #3-11303
522 279 NSP2_0.1_K #3-11313
522 359 NSP2_0.25_K #3-11323
522 3581 S1_0.1_T #3-1114
522 7254 S1_0.1_S #3-1124
522 6640 S1_0.25_S #3-1134
522 5985 S1_0.5_S #3-1144
522 5380 S1_0.1_B #3-1154
522 10922 S1_0.25_B #3-1164
522 14584 S1_0.5_B #3-1174
522 3580 S-RBD_0.5_Y #3-1184
522 114 S-RBD_0.25_S #3-1194
522 5726 S-RBD_0.5_S #3-11104
522 229 S2-1_0.05_T #3-11114
522 315 S2-2_0.1_T #3-11124
522 3894 N-protein_0.1_T #3-11134
522 7316 N-protein_0.05_K #3-11144
522 7623 N-protein_0.1_K #3-11154
522 7100 N-protein_0.2_K #3-11164
522 370 buffer #3-11174
522 3199 N-protein_0.1_W #3-11184
522 5084 N-protein_0.25_W #3-11194
522 11498 N-protein_0.5_W #3-11204
522 412 N-protein_0.1_S #3-11214
522 6523 N-protein_0.25_S #3-11224
522 8943 N-protein_0.5_S #3-11234
522 6806 N-Cter_0.1_K #3-11244
522 7670 N-Cter_0.25_K #3-11254
522 9089 N-Cter_0.5_K #3-11264
522 1257 N-Nter_0.1_K #3-11274
522 1729 N-Nter_0.25_K #3-11284
522 1677 N-Nter_0.5_K #3-11294
522 40 NSP2_0.05_K #3-11304
522 267 NSP2_0.1_K #3-11314
522 303 NSP2_0.25_K #3-11324
522 67 E-protein_0.25_T #3-1115
522 41 E-protein_0.1_K #3-1125
522 43 E-protein_0.25_K #3-1135
522 75 E-protein_0.5_K #3-1145
522 320 NSP1_0.1_T #3-1155
522 224 NSP1_0.1_K #3-1165
522 280 NSP1_0.25_K #3-1175
522 284 NSP1_0.5_K #3-1185
522 -10 NSP4_0.1_T #3-1195
522 181 NSP5_0.1_T #3-11105
522 732 NSP5_0.25_T #3-11115
522 1193 NSP5_0.5_T #3-11125
