"Samples ID" "F532 Median - B532" Name spotID
502 5603 S1_0.1_T #2-1111
502 9888 S1_0.1_S #2-1121
502 9835 S1_0.25_S #2-1131
502 8692 S1_0.5_S #2-1141
502 7894 S1_0.1_B #2-1151
502 21706 S1_0.25_B #2-1161
502 23728 S1_0.5_B #2-1171
502 8740 S-RBD_0.5_Y #2-1181
502 175 S-RBD_0.25_S #2-1191
502 5919 S-RBD_0.5_S #2-11101
502 325 S2-1_0.05_T #2-11111
502 283 S2-2_0.1_T #2-11121
502 34555 N-protein_0.1_T #2-11131
502 50883 N-protein_0.05_K #2-11141
502 44997 N-protein_0.1_K #2-11151
502 46092 N-protein_0.2_K #2-11161
502 427 buffer #2-11171
502 28036 N-protein_0.1_W #2-11181
502 37553 N-protein_0.25_W #2-11191
502 53054 N-protein_0.5_W #2-11201
502 5904 N-protein_0.1_S #2-11211
502 39998 N-protein_0.25_S #2-11221
502 57355 N-protein_0.5_S #2-11231
502 40350 N-Cter_0.1_K #2-11241
502 39370 N-Cter_0.25_K #2-11251
502 42099 N-Cter_0.5_K #2-11261
502 31084 N-Nter_0.1_K #2-11271
502 35914 N-Nter_0.25_K #2-11281
502 38950 N-Nter_0.5_K #2-11291
502 145 NSP2_0.05_K #2-11301
502 271 NSP2_0.1_K #2-11311
502 345 NSP2_0.25_K #2-11321
502 6208 S1_0.1_T #2-1112
502 10729 S1_0.1_S #2-1122
502 10605 S1_0.25_S #2-1132
502 9021 S1_0.5_S #2-1142
502 7712 S1_0.1_B #2-1152
502 20955 S1_0.25_B #2-1162
502 22068 S1_0.5_B #2-1172
502 6231 S-RBD_0.5_Y #2-1182
502 124 S-RBD_0.25_S #2-1192
502 5493 S-RBD_0.5_S #2-11102
502 316 S2-1_0.05_T #2-11112
502 345 S2-2_0.1_T #2-11122
502 34293 N-protein_0.1_T #2-11132
502 47804 N-protein_0.05_K #2-11142
502 43306 N-protein_0.1_K #2-11152
502 38744 N-protein_0.2_K #2-11162
502 -2049 buffer #2-11172
502 27347 N-protein_0.1_W #2-11182
502 37617 N-protein_0.25_W #2-11192
502 51260 N-protein_0.5_W #2-11202
502 4122 N-protein_0.1_S #2-11212
502 37768 N-protein_0.25_S #2-11222
502 46766 N-protein_0.5_S #2-11232
502 39349 N-Cter_0.1_K #2-11242
502 39503 N-Cter_0.25_K #2-11252
502 40354 N-Cter_0.5_K #2-11262
502 32159 N-Nter_0.1_K #2-11272
502 34228 N-Nter_0.25_K #2-11282
502 38737 N-Nter_0.5_K #2-11292
502 181 NSP2_0.05_K #2-11302
502 285 NSP2_0.1_K #2-11312
502 379 NSP2_0.25_K #2-11322
502 4488 S1_0.1_T #2-1113
502 10693 S1_0.1_S #2-1123
502 10415 S1_0.25_S #2-1133
502 8768 S1_0.5_S #2-1143
502 7465 S1_0.1_B #2-1153
502 20624 S1_0.25_B #2-1163
502 21994 S1_0.5_B #2-1173
502 7021 S-RBD_0.5_Y #2-1183
502 106 S-RBD_0.25_S #2-1193
502 6034 S-RBD_0.5_S #2-11103
502 358 S2-1_0.05_T #2-11113
502 388 S2-2_0.1_T #2-11123
502 32955 N-protein_0.1_T #2-11133
502 48821 N-protein_0.05_K #2-11143
502 44517 N-protein_0.1_K #2-11153
502 39635 N-protein_0.2_K #2-11163
502 -1903 buffer #2-11173
502 25871 N-protein_0.1_W #2-11183
502 35411 N-protein_0.25_W #2-11193
502 55888 N-protein_0.5_W #2-11203
502 5210 N-protein_0.1_S #2-11213
502 44956 N-protein_0.25_S #2-11223
502 52800 N-protein_0.5_S #2-11233
502 37589 N-Cter_0.1_K #2-11243
502 40081 N-Cter_0.25_K #2-11253
502 41175 N-Cter_0.5_K #2-11263
502 34140 N-Nter_0.1_K #2-11273
502 38401 N-Nter_0.25_K #2-11283
